session_id,task_id,agent_type,trial,total_ms,llm_ms,tool_ms,overhead_ms,iterations,tokens,completed,termination,tool_accurate,arg_score,arg_applicable,false_finish,ref_score,ref_applicable,tools,expected,parse_fail,tool_fail,error
qwen25_15b_base_v2_62_chain_ai5_dl2_tr2_regex_0,chain_ai5_dl2_tr2,regex,0,4850,4845,0,5,6,8193,False,FORCE_STOP,False,0.16666666666666666,True,False,1.0,False,"get_recently_submitted_cs_papers,get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf",0,3,
qwen25_15b_base_v2_62_chain_ai5_dl2_tr2_regex_1,chain_ai5_dl2_tr2,regex,1,4151,4146,0,5,6,7984,False,FORCE_STOP,False,0.16666666666666666,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf",0,4,
qwen25_15b_base_v2_62_chain_ai5_dl2_tr2_regex_2,chain_ai5_dl2_tr2,regex,2,3960,3956,0,4,6,7980,False,FORCE_STOP,False,0.16666666666666666,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,manual_search,get_recently_submitted_cs_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf",0,3,
qwen25_15b_base_v2_62_chain_cv5_cache_dl_tr_cache_regex_0,chain_cv5_cache_dl_tr_cache,regex,0,5264,5258,0,6,6,10879,True,FINISH,True,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status","get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_base_v2_62_chain_cv5_cache_dl_tr_cache_regex_1,chain_cv5_cache_dl_tr_cache,regex,1,2297,2294,0,3,3,4499,True,FINISH,False,0.4,True,True,1.0,False,"get_recently_submitted_cs_papers,get_paper_cache_status","get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_base_v2_62_chain_cv5_cache_dl_tr_cache_regex_2,chain_cv5_cache_dl_tr_cache,regex,2,6121,6115,0,6,7,13639,True,FINISH,False,0.8,True,True,1.0,False,"get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,get_paper_cache_status,get_paper_cache_status,translate_arxiv_pdf","get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_base_v2_62_chain_lg10_dl_tr_last_regex_0,chain_lg10_dl_tr_last,regex,0,2425,2422,0,3,3,4572,True,FINISH,False,0.3333333333333333,True,True,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf",0,1,
qwen25_15b_base_v2_62_chain_lg10_dl_tr_last_regex_1,chain_lg10_dl_tr_last,regex,1,4516,4511,0,5,6,8312,False,FORCE_STOP,False,0.3333333333333333,True,False,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf",0,4,
qwen25_15b_base_v2_62_chain_lg10_dl_tr_last_regex_2,chain_lg10_dl_tr_last,regex,2,2465,2463,0,2,3,4564,True,FINISH,False,0.3333333333333333,True,True,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf",0,1,
qwen25_15b_base_v2_62_chain_ro5_dl_three_regex_0,chain_ro5_dl_three,regex,0,2333,2330,0,3,3,4486,True,FINISH,False,0.5,True,True,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,download_arxiv_pdf",0,1,
