session_id,task_id,agent_type,trial,total_ms,llm_ms,tool_ms,overhead_ms,iterations,tokens,completed,termination,tool_accurate,arg_score,arg_applicable,false_finish,ref_score,ref_applicable,tools,expected,parse_fail,tool_fail,error
qwen25_15b_sft_e1_final_train_r3_chain_ai5_dl2_tr2_regex_0,chain_ai5_dl2_tr2,regex,0,5864,5861,0,3,5,8572,True,FINISH,True,1.0,True,False,1.0,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_ai5_dl2_tr2_regex_1,chain_ai5_dl2_tr2,regex,1,5439,5435,0,4,5,8572,True,FINISH,True,1.0,True,False,1.0,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_ai5_dl2_tr2_regex_2,chain_ai5_dl2_tr2,regex,2,5428,5424,0,4,5,8572,True,FINISH,True,1.0,True,False,1.0,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_cv5_cache_dl_tr_cache_regex_0,chain_cv5_cache_dl_tr_cache,regex,0,6333,6327,0,6,6,10578,True,FINISH,True,1.0,True,False,1.0,True,"get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status","get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_cv5_cache_dl_tr_cache_regex_1,chain_cv5_cache_dl_tr_cache,regex,1,6354,6349,0,5,6,10578,True,FINISH,True,1.0,True,False,1.0,True,"get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status","get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_cv5_cache_dl_tr_cache_regex_2,chain_cv5_cache_dl_tr_cache,regex,2,6339,6335,0,4,6,10578,True,FINISH,True,1.0,True,False,1.0,True,"get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status","get_recently_submitted_cs_papers,get_paper_cache_status,download_arxiv_pdf,translate_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_lg10_dl_tr_last_regex_0,chain_lg10_dl_tr_last,regex,0,3746,3744,0,2,4,6407,True,FINISH,True,0.8333333333333334,True,False,1.0,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_lg10_dl_tr_last_regex_1,chain_lg10_dl_tr_last,regex,1,3722,3719,0,3,4,6407,True,FINISH,True,0.8333333333333334,True,False,1.0,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_lg10_dl_tr_last_regex_2,chain_lg10_dl_tr_last,regex,2,3735,3732,0,3,4,6407,True,FINISH,True,0.8333333333333334,True,False,1.0,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_ro5_dl_three_regex_0,chain_ro5_dl_three,regex,0,4033,4029,0,4,4,6414,True,FINISH,False,0.75,True,True,0.6666666666666666,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,download_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_ro5_dl_three_regex_1,chain_ro5_dl_three,regex,1,4057,4053,0,4,4,6414,True,FINISH,False,0.75,True,True,0.6666666666666666,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,download_arxiv_pdf",0,0,
qwen25_15b_sft_e1_final_train_r3_chain_ro5_dl_three_regex_2,chain_ro5_dl_three,regex,2,4040,4036,0,4,4,6414,True,FINISH,False,0.75,True,True,0.6666666666666666,True,"get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf","get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,download_arxiv_pdf",0,0,
