session_id,task_id,agent_type,trial,total_ms,llm_ms,tool_ms,overhead_ms,iterations,tokens,completed,termination,tool_accurate,arg_score,arg_applicable,false_finish,ref_score,ref_applicable,tools,expected,parse_fail,tool_fail,error
qwen25_15b_base_pilot_v3_search_AI_1d_3_regex_0,search_AI_1d_3,regex,0,4598,4594,0,4,6,7862,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers",get_recently_submitted_cs_papers,0,4,
qwen25_15b_base_pilot_v3_search_AI_1d_3_regex_1,search_AI_1d_3,regex,1,2430,2427,0,3,3,4353,True,FINISH,False,0.0,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers",get_recently_submitted_cs_papers,0,1,
qwen25_15b_base_pilot_v3_search_AI_1d_3_regex_2,search_AI_1d_3,regex,2,4021,4018,0,3,6,7823,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers",get_recently_submitted_cs_papers,0,4,
qwen25_15b_base_pilot_v3_search_kw_agentic_rl_regex_0,search_kw_agentic_rl,regex,0,4632,4627,0,5,6,8107,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers",search_arxiv_papers,0,3,
qwen25_15b_base_pilot_v3_search_kw_agentic_rl_regex_1,search_kw_agentic_rl,regex,1,4292,4287,0,5,6,7942,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers",search_arxiv_papers,0,4,
qwen25_15b_base_pilot_v3_search_kw_agentic_rl_regex_2,search_kw_agentic_rl,regex,2,4542,4538,0,4,6,8119,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers",search_arxiv_papers,0,3,
qwen25_15b_base_pilot_v3_opt_force_dl_regex_0,opt_force_dl,regex,0,1206,1203,0,3,2,3086,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v3_opt_force_dl_regex_1,opt_force_dl,regex,1,1152,1151,0,1,2,3068,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v3_opt_force_dl_regex_2,opt_force_dl,regex,2,1145,1143,0,2,2,3068,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v3_ref_ctrl_id_download_regex_0,ref_ctrl_id_download,regex,0,1179,1178,0,1,2,2983,True,FINISH,False,0.0,True,True,1.0,False,search_arxiv_papers,download_arxiv_pdf,0,1,
qwen25_15b_base_pilot_v3_ref_ctrl_id_download_regex_1,ref_ctrl_id_download,regex,1,1178,1176,0,2,2,2983,True,FINISH,False,0.0,True,True,1.0,False,search_arxiv_papers,download_arxiv_pdf,0,1,
qwen25_15b_base_pilot_v3_ref_ctrl_id_download_regex_2,ref_ctrl_id_download,regex,2,1190,1189,0,1,2,2983,True,FINISH,False,0.0,True,True,1.0,False,search_arxiv_papers,download_arxiv_pdf,0,1,
qwen25_15b_base_pilot_v3_state_dl_then_cache_regex_0,state_dl_then_cache,regex,0,1302,1301,0,1,2,3030,True,FINISH,False,0.0,True,True,1.0,False,get_paper_cache_status,"download_arxiv_pdf,get_paper_cache_status",0,1,
qwen25_15b_base_pilot_v3_state_dl_then_cache_regex_1,state_dl_then_cache,regex,1,1319,1318,0,1,2,3030,True,FINISH,False,0.0,True,True,1.0,False,get_paper_cache_status,"download_arxiv_pdf,get_paper_cache_status",0,1,
qwen25_15b_base_pilot_v3_state_dl_then_cache_regex_2,state_dl_then_cache,regex,2,3426,3422,0,4,4,7184,True,FINISH,False,0.0,True,False,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf,get_paper_cache_status","download_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_base_pilot_v3_multi_cv3_dl1_regex_0,multi_cv3_dl1,regex,0,4309,4304,0,5,6,7961,False,FORCE_STOP,False,0.3333333333333333,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,get_recently_submitted_cs_papers","get_recently_submitted_cs_papers,download_arxiv_pdf",0,3,
qwen25_15b_base_pilot_v3_multi_cv3_dl1_regex_1,multi_cv3_dl1,regex,1,4010,4006,0,4,5,7918,True,FINISH,False,0.5,True,True,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf",0,3,
qwen25_15b_base_pilot_v3_multi_cv3_dl1_regex_2,multi_cv3_dl1,regex,2,3999,3996,0,3,6,7932,False,FORCE_STOP,False,0.3333333333333333,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf",0,4,
qwen25_15b_base_pilot_v3_constraint_search_no_file_regex_0,constraint_search_no_file,regex,0,1511,1509,0,2,2,2842,True,FINISH,True,1.0,True,False,1.0,False,get_recently_submitted_cs_papers,get_recently_submitted_cs_papers,0,0,
qwen25_15b_base_pilot_v3_constraint_search_no_file_regex_1,constraint_search_no_file,regex,1,4518,4514,0,4,6,8144,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers",get_recently_submitted_cs_papers,0,2,
qwen25_15b_base_pilot_v3_constraint_search_no_file_regex_2,constraint_search_no_file,regex,2,1504,1502,0,2,2,2842,True,FINISH,True,1.0,True,False,1.0,False,get_recently_submitted_cs_papers,get_recently_submitted_cs_papers,0,0,
qwen25_15b_base_pilot_v3_infeasible_unsupported_action_regex_0,infeasible_unsupported_action,regex,0,1055,1053,0,2,2,2966,True,FINISH,False,0.0,True,False,1.0,False,get_paper_cache_status,,0,1,
qwen25_15b_base_pilot_v3_infeasible_unsupported_action_regex_1,infeasible_unsupported_action,regex,1,1076,1074,0,2,2,2966,True,FINISH,False,0.0,True,False,1.0,False,get_paper_cache_status,,0,1,
qwen25_15b_base_pilot_v3_infeasible_unsupported_action_regex_2,infeasible_unsupported_action,regex,2,1051,1050,0,1,2,2966,True,FINISH,False,0.0,True,False,1.0,False,get_paper_cache_status,,0,1,
