session_id,task_id,agent_type,trial,total_ms,llm_ms,tool_ms,overhead_ms,iterations,tokens,completed,termination,tool_accurate,arg_score,arg_applicable,false_finish,ref_score,ref_applicable,tools,expected,parse_fail,tool_fail,error
qwen25_15b_base_pilot_v3_search_AI_1d_3_regex_0,search_AI_1d_3,regex,0,4526,4522,0,4,6,7862,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers",get_recently_submitted_cs_papers,0,4,
qwen25_15b_base_pilot_v3_search_AI_1d_3_regex_1,search_AI_1d_3,regex,1,2421,2419,0,2,3,4353,True,FINISH,False,0.0,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers",get_recently_submitted_cs_papers,0,1,
qwen25_15b_base_pilot_v3_search_AI_1d_3_regex_2,search_AI_1d_3,regex,2,4022,4018,0,4,6,7823,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers",get_recently_submitted_cs_papers,0,4,
qwen25_15b_base_pilot_v3_search_kw_agentic_rl_regex_0,search_kw_agentic_rl,regex,0,4524,4519,0,5,6,8107,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers",search_arxiv_papers,0,3,
qwen25_15b_base_pilot_v3_search_kw_agentic_rl_regex_1,search_kw_agentic_rl,regex,1,4381,4376,0,5,6,7942,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers",search_arxiv_papers,0,4,
qwen25_15b_base_pilot_v3_search_kw_agentic_rl_regex_2,search_kw_agentic_rl,regex,2,4541,4537,0,4,6,8119,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers",search_arxiv_papers,0,3,
qwen25_15b_base_pilot_v3_opt_force_dl_regex_0,opt_force_dl,regex,0,1202,1201,0,1,2,3086,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v3_opt_force_dl_regex_1,opt_force_dl,regex,1,1137,1136,0,1,2,3068,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v3_opt_force_dl_regex_2,opt_force_dl,regex,2,1150,1149,0,1,2,3068,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v3_ref_ctrl_id_download_regex_0,ref_ctrl_id_download,regex,0,1180,1179,0,1,2,2983,True,FINISH,False,0.0,True,True,1.0,False,search_arxiv_papers,download_arxiv_pdf,0,1,
qwen25_15b_base_pilot_v3_ref_ctrl_id_download_regex_1,ref_ctrl_id_download,regex,1,1178,1177,0,1,2,2983,True,FINISH,False,0.0,True,True,1.0,False,search_arxiv_papers,download_arxiv_pdf,0,1,
qwen25_15b_base_pilot_v3_ref_ctrl_id_download_regex_2,ref_ctrl_id_download,regex,2,1196,1195,0,1,2,2983,True,FINISH,False,0.0,True,True,1.0,False,search_arxiv_papers,download_arxiv_pdf,0,1,
qwen25_15b_base_pilot_v3_state_dl_then_cache_regex_0,state_dl_then_cache,regex,0,1304,1303,0,1,2,3030,True,FINISH,False,0.0,True,True,1.0,False,get_paper_cache_status,"download_arxiv_pdf,get_paper_cache_status",0,1,
qwen25_15b_base_pilot_v3_state_dl_then_cache_regex_1,state_dl_then_cache,regex,1,1320,1319,0,1,2,3030,True,FINISH,False,0.0,True,True,1.0,False,get_paper_cache_status,"download_arxiv_pdf,get_paper_cache_status",0,1,
qwen25_15b_base_pilot_v3_state_dl_then_cache_regex_2,state_dl_then_cache,regex,2,3430,3428,0,2,4,7184,True,FINISH,False,0.0,True,False,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf,get_paper_cache_status","download_arxiv_pdf,get_paper_cache_status",0,0,
qwen25_15b_base_pilot_v3_multi_cv3_dl1_regex_0,multi_cv3_dl1,regex,0,4302,4297,0,5,6,7961,False,FORCE_STOP,False,0.3333333333333333,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,get_recently_submitted_cs_papers","get_recently_submitted_cs_papers,download_arxiv_pdf",0,3,
qwen25_15b_base_pilot_v3_multi_cv3_dl1_regex_1,multi_cv3_dl1,regex,1,4006,4001,0,5,5,7918,True,FINISH,False,0.5,True,True,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf",0,3,
qwen25_15b_base_pilot_v3_multi_cv3_dl1_regex_2,multi_cv3_dl1,regex,2,4017,4013,0,4,6,7932,False,FORCE_STOP,False,0.3333333333333333,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers","get_recently_submitted_cs_papers,download_arxiv_pdf",0,4,
qwen25_15b_base_pilot_v3_constraint_search_no_file_regex_0,constraint_search_no_file,regex,0,1513,1511,0,2,2,2842,True,FINISH,True,1.0,True,False,1.0,False,get_recently_submitted_cs_papers,get_recently_submitted_cs_papers,0,0,
qwen25_15b_base_pilot_v3_constraint_search_no_file_regex_1,constraint_search_no_file,regex,1,4534,4530,0,4,6,8144,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers",get_recently_submitted_cs_papers,0,2,
qwen25_15b_base_pilot_v3_constraint_search_no_file_regex_2,constraint_search_no_file,regex,2,1511,1510,0,1,2,2842,True,FINISH,True,1.0,True,False,1.0,False,get_recently_submitted_cs_papers,get_recently_submitted_cs_papers,0,0,
qwen25_15b_base_pilot_v3_infeasible_unsupported_action_regex_0,infeasible_unsupported_action,regex,0,1063,1062,0,1,2,2966,True,FINISH,False,0.0,True,False,1.0,False,get_paper_cache_status,,0,1,
qwen25_15b_base_pilot_v3_infeasible_unsupported_action_regex_1,infeasible_unsupported_action,regex,1,1094,1091,0,3,2,2966,True,FINISH,False,0.0,True,False,1.0,False,get_paper_cache_status,,0,1,
qwen25_15b_base_pilot_v3_infeasible_unsupported_action_regex_2,infeasible_unsupported_action,regex,2,1065,1063,0,2,2,2966,True,FINISH,False,0.0,True,False,1.0,False,get_paper_cache_status,,0,1,
